a1,a6,a2,a4,a3
0,0,Lv.15,1197,22
0,0,Lv.17,1160,33
0,0,Lv.20,1185,17
0,0,Lv.10,1192,27
0,0,Lv.17,1199,27
0,0,Lv.17,6,20
0,0,Lv.17,4,20
0,0,Lv.11,1170,20
0,0,Lv.19,1181,3001
0,0,Lv.22,1281,363
0,0,Lv.18,7,21
0,0,Lv.18,14,20
0,0,Lv.18,1208,37
0,0,Lv.18,1189,32
0,0,Lv.18,1209,2793
0,0,Lv.17,1206,2847
0,0,Lv.9,14,22
0,0,Lv.18,1200,2832
0,0,Lv.17,1195,25
0,0,Lv.15,1193,39
0,0,Lv.17,16,14
0,0,Lv.14,1182,26
0,0,Lv.11,15,18
0,0,Lv.17,1180,27
0,0,Lv.17,1176,2691
393,267662,Lv.39,2178,463
11,6497,Lv.3,1,2
0,0,Lv.17,1483,2025
20,18677,Lv.8,4,16
0,0,Lv.20,1213,2875
29,47559,Lv.14,93,9
181,618225,Lv.27,374,340
1,1191,Lv.3,1,22
5,0,Lv.9,8,40
18,20037,Lv.13,27,48
0,0,Lv.18,1190,31
21,926525,Lv.37,1329,28
0,0,Lv.18,1197,2467
0,0,Lv.11,1188,31
0,0,Lv.17,9,26
0,0,Lv.15,1204,2341
0,0,Lv.15,1178,26
0,0,Lv.17,1190,2446
0,0,Lv.18,1175,29
0,0,Lv.16,1179,15
0,0,Lv.13,1179,20
0,0,Lv.16,1181,20
0,0,Lv.9,1174,35
0,0,Lv.15,11,20
0,0,Lv.12,7,26
0,0,Lv.16,1165,24
0,0,Lv.18,1162,26
0,0,Lv.15,1196,24
0,0,Lv.17,1181,21
0,0,Lv.15,1177,37
0,0,Lv.15,1174,18
0,0,Lv.18,1196,2809
0,0,Lv.17,1157,2740
0,0,Lv.15,1185,34
0,0,Lv.20,1171,25
0,0,Lv.12,1200,2678
0,0,Lv.15,1191,16
0,0,Lv.18,1186,28
0,0,Lv.16,1189,27
0,0,Lv.18,21,35
0,0,Lv.18,1164,2443
0,0,Lv.17,9,19
0,0,Lv.17,10,22
0,0,Lv.20,1211,2661
0,0,Lv.17,1189,18
0,0,Lv.19,1160,30
0,0,Lv.15,17,25
0,0,Lv.18,1184,25
0,0,Lv.9,1162,23
0,0,Lv.18,1176,19
