a1,a6,a2,a4,a3
a1,a6,a2,a4,a3
0,0,Lv.18,12,19
0,0,Lv.19,1179,24
0,0,Lv.13,1170,25
0,0,Lv.18,1165,20
0,0,Lv.16,12,14
0,0,Lv.18,1215,2765
0,0,Lv.19,1171,20
0,0,Lv.12,9,13
0,0,Lv.18,8,18
0,0,Lv.16,1190,21
0,0,Lv.19,1183,20
0,0,Lv.19,12,22
0,0,Lv.20,1182,38
0,0,Lv.16,1183,29
0,0,Lv.20,1184,22
0,0,Lv.18,1196,32
0,0,Lv.17,1187,19
0,0,Lv.16,1189,29
0,0,Lv.15,10,22
0,0,Lv.19,1200,25
0,0,Lv.18,1180,21
0,0,Lv.17,1161,32
0,0,Lv.9,1186,24
0,0,Lv.15,1196,2764
0,0,Lv.18,7,25
0,0,Lv.17,1181,21
0,0,Lv.20,1184,21
0,0,Lv.18,1184,36
0,0,Lv.17,1180,27
0,0,Lv.15,1174,26
0,0,Lv.17,1199,2785
0,0,Lv.18,1188,26
0,0,Lv.12,1203,27
0,0,Lv.17,1185,32
0,0,Lv.10,10,18
0,0,Lv.19,1172,27
0,0,Lv.15,1189,25
0,0,Lv.17,1194,23
0,0,Lv.17,6,27
0,0,Lv.11,1193,10
0,0,Lv.18,1175,18
0,0,Lv.18,1170,2771
0,0,Lv.14,1168,29
0,0,Lv.11,1198,2718
0,0,Lv.15,1180,23
0,0,Lv.18,9,22
0,0,Lv.20,10,18
0,0,Lv.15,12,20
0,0,Lv.12,1190,27
0,0,Lv.12,1175,2472
0,0,Lv.12,1189,2807
0,0,Lv.18,1190,16
0,0,Lv.16,1182,2467
0,0,Lv.18,1182,21
0,0,Lv.17,1191,2443
0,0,Lv.19,11,24
0,0,Lv.19,1193,24
0,0,Lv.20,1180,32
0,0,Lv.13,1195,35
0,0,Lv.15,1190,28
0,0,Lv.15,15,18
0,0,0,0,0
0,0,Lv.18,1174,23
0,0,Lv.17,1179,23
0,0,Lv.19,15,19
0,0,Lv.16,6,14
0,0,Lv.19,1201,44
0,0,Lv.16,18,30
0,0,Lv.11,1172,25
0,0,Lv.15,1194,23
0,0,Lv.16,1181,23
0,0,Lv.19,1198,37
0,0,Lv.10,1192,30
0,0,Lv.15,1194,25
0,0,Lv.19,1184,34
0,0,Lv.11,1188,30
0,0,Lv.12,20,24
0,0,Lv.16,1185,36
0,0,Lv.15,1179,24
0,0,Lv.12,1195,2694
0,0,Lv.16,1180,18
0,0,Lv.8,1332,283
0,0,Lv.12,11,14
0,0,Lv.17,12,10
0,0,Lv.17,4,20
1,0,Lv.3,0,7
31,8028,Lv.13,23,11
0,8028,0,0,0
32,0,Lv.9,1,4
531,0,Lv.15,5,27
108,2274,Lv.12,4,27
0,0,Lv.12,1201,22
0,0,Lv.14,1175,25
0,0,Lv.11,1191,21
0,0,Lv.16,8,13
0,0,Lv.18,7,26
0,0,Lv.15,1177,22
0,0,Lv.19,3,22
0,0,Lv.19,1190,20
0,0,Lv.17,1189,26
0,0,Lv.19,1237,2775
0,0,Lv.20,1188,23
0,0,Lv.15,1188,29
0,0,Lv.10,1193,30
0,15102,Lv.13,416,1036
0,0,Lv.17,1182,2861
0,0,Lv.14,1188,20
0,0,Lv.16,1177,26
0,0,Lv.17,1168,15
0,0,Lv.19,16,22
0,0,Lv.19,1195,25
0,0,Lv.17,1171,26
0,0,Lv.11,1164,18
0,0,Lv.20,7,12
0,0,Lv.13,1195,36
0,0,Lv.18,1182,23
0,0,Lv.16,1195,2757
0,0,Lv.14,1180,21
0,0,Lv.18,1198,372
0,0,Lv.19,1183,28
0,0,Lv.19,1175,22
0,0,Lv.15,1193,17
0,0,Lv.15,1169,20
0,0,Lv.19,1171,14
0,0,Lv.19,1192,18
0,0,Lv.17,1193,39
0,0,Lv.14,1193,24
0,0,Lv.15,1196,39
0,0,Lv.19,1182,2919
0,0,Lv.15,1191,2462
0,0,Lv.17,1181,25
0,0,Lv.15,1183,26
0,0,Lv.16,7,22
0,0,Lv.11,1196,26
0,0,Lv.15,5,20
0,0,Lv.15,6,20
0,0,Lv.17,1181,27
0,0,Lv.16,1188,45
0,0,Lv.19,1181,20
0,0,Lv.20,1188,23
0,0,Lv.17,1181,21
0,0,0,0,0
0,0,Lv.16,12,24
0,0,Lv.9,1252,318
0,0,Lv.14,10,26
0,0,Lv.20,1186,34
0,0,Lv.10,9,24
0,0,Lv.10,1169,29
0,0,Lv.17,1184,20
0,0,Lv.16,15,23
0,0,Lv.15,8,19
0,0,Lv.20,1185,34
0,0,Lv.15,1182,2690
0,0,0,0,0
0,0,Lv.17,1184,25
0,0,Lv.18,1175,17
0,0,Lv.19,14,23
0,0,Lv.13,6,17
0,0,Lv.15,14,21
0,0,Lv.18,1181,24
0,0,Lv.16,1162,14
0,0,Lv.19,1200,2778
0,0,Lv.17,1195,2418
0,0,Lv.18,1177,18
0,0,Lv.18,1176,21
0,0,Lv.20,1172,19
0,0,Lv.18,1180,35
0,0,Lv.12,10,21
0,0,Lv.15,1186,24
0,0,Lv.9,1184,16
0,0,Lv.10,1183,22
0,0,Lv.19,1188,29
0,0,Lv.16,1185,23
0,0,Lv.18,1208,2536
0,0,Lv.16,13,16
0,0,Lv.20,1188,25
0,0,Lv.13,1187,23
0,0,Lv.15,1167,17
0,0,Lv.17,1190,25
0,0,Lv.17,1204,25
0,0,Lv.19,1178,27
0,0,Lv.16,1202,34
0,0,Lv.19,1200,2460
0,0,Lv.18,10,17
0,0,Lv.18,1174,23
0,0,Lv.10,1200,35
0,0,Lv.20,1183,21
0,0,Lv.15,1184,22
8,0,Lv.6,4,4
0,0,Lv.16,1187,23
0,0,Lv.19,1184,22
0,0,Lv.17,1185,20
0,0,Lv.16,1182,2416
0,0,Lv.9,1510,816
0,0,Lv.14,1195,37
0,0,Lv.20,14,21
0,0,Lv.17,1172,19
0,0,Lv.14,1194,20
0,0,Lv.12,11,27
0,0,Lv.19,8,21
0,0,Lv.16,1199,44
0,0,Lv.17,1199,27
0,0,Lv.12,1191,38
0,0,Lv.20,13,18
0,0,Lv.16,1191,19
0,0,Lv.16,1178,2699
0,0,Lv.17,1174,2592
0,0,Lv.15,1176,29
0,0,0,0,0
0,0,Lv.10,1185,23
0,0,Lv.17,10,22
0,0,Lv.20,1180,15
0,0,Lv.18,9,24
0,0,Lv.15,1183,24
0,0,Lv.16,10,23
0,0,Lv.14,1184,35
0,0,Lv.19,1173,23
0,0,Lv.19,1176,19
0,0,Lv.18,1193,27
0,0,Lv.10,1196,331
0,0,Lv.18,1192,23
0,0,Lv.19,7,11
0,0,Lv.17,15,17
0,0,Lv.15,1195,22
0,0,Lv.18,1193,28
0,0,Lv.19,1181,37
0,0,Lv.11,13,19
0,0,Lv.14,15,19
0,0,Lv.12,1179,30
0,0,Lv.19,1192,27
0,0,Lv.18,1175,26
0,0,Lv.7,220,2029
0,0,Lv.14,1193,37
0,0,Lv.19,1,19
0,0,Lv.15,1165,26
0,0,Lv.19,1191,2355
0,0,Lv.15,1380,1024
0,0,Lv.18,1167,26
0,0,Lv.16,12,22
0,0,Lv.18,1198,25
0,0,Lv.20,1181,21
0,0,Lv.15,14,22
0,0,Lv.17,9,16
0,0,Lv.16,1197,2699
0,0,Lv.19,1183,33
0,0,Lv.18,1167,26
0,0,Lv.15,1178,18
0,0,Lv.14,1201,2699
0,0,Lv.17,1186,22
0,0,Lv.18,1167,22
0,0,Lv.15,14,23
0,0,Lv.17,1200,20
0,0,Lv.19,6,24
0,0,Lv.15,13,13
0,0,Lv.18,1192,2451
179,0,Lv.18,27,412
0,0,Lv.19,1177,27
0,0,Lv.17,3,13
0,0,Lv.17,1185,31
0,0,Lv.17,1191,22
0,0,Lv.18,1196,2809
0,0,Lv.16,13,19
0,0,Lv.17,14,27
0,0,Lv.18,8,30
0,0,Lv.19,1178,2504
0,0,Lv.20,1187,27
0,0,Lv.19,1182,23
0,0,Lv.12,1175,23
0,0,Lv.9,1191,33
0,0,Lv.20,9,20
0,0,Lv.17,1182,2393
0,0,Lv.17,1190,29
0,0,Lv.12,1198,21
0,5683,Lv.9,197,521
0,0,Lv.19,1175,34
0,0,Lv.16,1185,22
0,0,Lv.17,1179,30
0,0,Lv.18,1188,2928
0,0,Lv.19,1169,30
0,0,Lv.16,1173,22
0,0,Lv.13,1185,29
0,0,Lv.15,13,17
0,0,Lv.15,1174,23
0,0,Lv.9,8,21
0,0,Lv.17,8,20
0,0,Lv.19,1194,35
0,0,Lv.20,4,16
0,0,Lv.18,1209,2793
0,0,Lv.16,1168,24
0,0,Lv.18,1174,27
0,0,Lv.17,1193,42
0,0,Lv.18,9,19
0,0,Lv.17,1186,22
0,0,Lv.18,1214,40
0,0,Lv.18,1200,2832
0,0,Lv.15,1178,25
0,0,Lv.15,1523,1106
0,0,Lv.18,11,18
0,0,Lv.16,1191,2448
0,0,Lv.20,1172,22
0,0,Lv.16,1159,20
0,0,Lv.15,10,15
0,0,Lv.15,1186,2784
0,0,Lv.14,9,27
0,0,Lv.16,1172,21
0,0,Lv.20,8,21
0,0,Lv.16,9,15
0,0,Lv.16,1177,44
0,0,Lv.15,1190,21
0,0,Lv.19,1192,20
0,0,Lv.20,1194,37
0,0,Lv.18,1186,33
0,0,Lv.17,1197,2456
0,0,Lv.13,1183,20
0,0,Lv.15,12,19
0,0,Lv.19,1170,26
0,0,Lv.10,1175,26
0,0,Lv.19,1176,23
0,0,Lv.15,1179,18
0,0,Lv.15,1199,27
0,0,Lv.19,1200,2460
0,0,Lv.15,1191,15
0,0,Lv.17,1195,17
0,0,Lv.17,1193,25
0,0,Lv.19,1183,28
0,0,Lv.18,15,21
25,6352,Lv.15,27,4
0,0,Lv.16,7,25
0,0,Lv.20,1173,21
0,0,Lv.17,1189,2819
0,0,Lv.14,1199,2745
0,0,Lv.16,11,13
0,0,Lv.15,1188,30
0,0,Lv.8,171,1762
0,0,Lv.19,10,25
0,0,Lv.18,1146,28
0,0,Lv.17,11,27
0,0,Lv.16,9,22
0,0,Lv.19,1193,300
0,0,Lv.15,11,19
0,2123,Lv.18,2323,1556
0,0,Lv.15,1180,24
0,0,Lv.20,1195,26
0,0,Lv.18,16,17
0,0,Lv.17,1192,37
0,0,Lv.11,1174,35
0,0,Lv.16,8,15
0,0,Lv.17,1181,2769
0,0,Lv.19,16,17
0,0,Lv.18,1175,26
0,0,Lv.17,1189,28
0,0,Lv.20,1181,24
0,0,Lv.15,1204,2498
0,0,Lv.20,1191,28
0,0,Lv.15,1140,21
0,0,Lv.18,7,23
0,0,Lv.19,1185,22
0,0,Lv.20,1188,23
0,0,Lv.17,1186,17
0,0,Lv.13,1195,19
0,0,Lv.16,1180,23
0,0,Lv.19,6,21
0,0,Lv.13,1171,19
0,0,Lv.16,1177,2477
0,0,Lv.18,1190,17
0,0,Lv.19,12,11
0,0,Lv.19,1209,2572
0,0,Lv.19,11,21
0,0,Lv.19,11,20
0,0,Lv.15,1190,25
0,0,Lv.18,1181,19
0,0,Lv.20,1197,32
0,0,Lv.15,1,15
0,0,Lv.9,1265,1268
0,0,Lv.15,1194,25
0,0,Lv.13,1195,15
0,0,Lv.14,1167,19
0,0,Lv.15,1182,41
0,0,Lv.17,3,13
0,0,Lv.18,9,15
0,0,Lv.17,16,26
0,0,Lv.18,10,19
0,0,Lv.20,198,24
0,0,Lv.16,10,23
0,0,Lv.17,1183,25
0,0,Lv.15,1177,37
0,0,Lv.16,1200,21
0,0,Lv.13,1183,30
0,0,Lv.19,9,14
0,0,Lv.18,1171,2652
0,0,0,0,0
0,0,Lv.15,1164,22
0,0,Lv.16,1172,25
0,0,Lv.18,1195,27
0,0,Lv.15,12,25
0,0,Lv.16,1197,24
0,0,Lv.17,1184,29
0,0,Lv.19,1191,33
0,0,Lv.19,9,25
0,0,Lv.12,5,15
0,0,Lv.18,1189,24
0,0,Lv.13,1168,2654
0,0,Lv.18,1186,31
0,0,Lv.16,1204,2793
0,0,Lv.15,8,17
0,0,Lv.19,1175,26
0,0,Lv.13,11,13
0,0,Lv.16,1177,26
0,0,Lv.14,1172,21
0,0,Lv.17,1153,27
0,0,Lv.19,1189,17
0,0,Lv.17,1195,2418
0,0,Lv.10,1191,40
0,0,Lv.17,1164,27
0,0,Lv.19,1181,28
0,0,Lv.19,9,25
0,0,Lv.18,1201,3001
0,0,Lv.20,1178,21
0,0,Lv.19,1177,34
0,0,Lv.18,12,22
0,0,Lv.17,1182,2861
0,0,Lv.18,8,18
0,0,Lv.15,1181,33
0,0,Lv.19,7,20
0,0,Lv.19,1193,23
0,0,Lv.16,1170,20
0,0,Lv.18,11,18
0,0,Lv.15,1191,2408
0,0,Lv.20,1180,20
0,0,Lv.16,10,25
0,0,Lv.19,1188,22
0,0,Lv.15,1185,24
0,0,Lv.18,10,13
0,0,Lv.19,1192,24
0,0,Lv.12,7,18
0,0,Lv.16,10,21
0,0,Lv.19,1177,18
0,0,Lv.15,1168,2875
0,0,Lv.15,1185,18
0,0,Lv.20,1175,35
0,0,Lv.18,1195,2664
0,0,Lv.14,7,24
0,0,Lv.15,11,21
0,0,Lv.15,1198,35
0,0,Lv.15,1193,2411
0,0,Lv.12,7,18
0,0,Lv.20,6,24
0,0,Lv.11,1150,30
0,0,Lv.15,1158,19
0,0,Lv.18,1165,21
0,0,Lv.17,5,21
0,0,Lv.19,9,14
0,0,Lv.19,1196,27
0,0,Lv.11,1201,25
0,0,Lv.17,1194,27
0,0,Lv.15,1196,25
0,0,Lv.14,1180,35
0,0,Lv.16,17,21
0,0,Lv.17,1187,33
0,0,Lv.19,1209,26
0,0,Lv.18,1185,2783
0,0,Lv.15,10,17
0,0,Lv.19,1180,30
0,0,Lv.18,1172,368
0,0,Lv.11,1201,30
0,0,Lv.20,1208,24
0,0,Lv.14,1190,23
0,0,Lv.14,1165,34
0,0,Lv.17,1189,28
0,0,Lv.18,1181,30
0,0,Lv.13,10,22
0,0,Lv.15,1192,36
0,0,Lv.15,1175,19
0,0,Lv.20,1186,24
0,0,Lv.20,1180,2687
0,0,Lv.20,1177,2782
0,0,Lv.15,1193,22
0,0,Lv.17,10,14
0,0,Lv.18,1175,28
0,0,Lv.19,18,26
0,0,Lv.12,1182,30
0,0,Lv.10,80,598
0,0,Lv.13,1188,32
0,0,Lv.15,1174,31
0,0,Lv.20,6,19
0,0,Lv.19,1180,22
0,13704,Lv.27,166,2301
0,0,Lv.11,7,16
0,0,Lv.15,1195,21
0,0,Lv.22,1832,2098
0,0,Lv.15,1175,24
0,0,Lv.11,11,22
0,0,Lv.9,1271,195
0,0,Lv.16,1206,40
0,0,Lv.18,10,20
0,0,Lv.18,1188,2504
0,0,Lv.17,1194,23
0,0,Lv.17,17,23
0,0,Lv.17,1192,37
0,0,Lv.15,8,30
0,0,Lv.15,1181,24
732,22212,Lv.30,138,22
0,0,Lv.21,1351,2566
0,0,Lv.17,1187,34
0,0,Lv.17,1178,33
0,0,Lv.16,1181,306
0,0,Lv.16,1187,2429
0,0,Lv.17,1172,29
0,0,Lv.20,1170,20
0,0,Lv.18,1169,22
0,0,Lv.16,12,21
0,0,Lv.19,1,16
0,0,Lv.18,1194,19
0,0,Lv.14,15,19
0,0,Lv.19,1190,24
0,0,Lv.11,1173,26
0,0,Lv.20,1189,2928
0,0,Lv.15,4,27
0,15239,Lv.15,1649,1086
0,0,Lv.18,1175,18
0,0,Lv.17,13,18
0,0,Lv.16,4,16
0,0,Lv.18,8,16
0,0,Lv.22,1281,363
0,0,Lv.18,1188,20
0,0,Lv.16,1193,36
0,0,Lv.20,1193,2508
0,0,Lv.19,1212,22
0,0,Lv.15,1192,28
0,0,Lv.19,1175,25
0,0,Lv.19,8,23
0,0,Lv.18,1208,27
0,0,Lv.13,1185,26
0,0,Lv.14,1192,2828
0,0,Lv.19,1175,25
0,0,0,0,0
0,0,Lv.19,1171,26
0,0,Lv.20,10,14
0,0,Lv.1,0,0
0,0,Lv.1,0,0
0,0,Lv.20,1160,18
0,0,Lv.17,1203,2795
0,0,Lv.1,0,0
0,0,Lv.1,0,0
0,0,Lv.19,1175,2780
0,0,Lv.19,1192,21
0,0,Lv.16,1187,22
0,0,Lv.12,12,22
0,0,Lv.17,1178,27
0,0,Lv.13,16,24
0,0,Lv.20,1181,16
0,0,Lv.17,1197,2341
0,0,Lv.18,1172,23
0,0,Lv.15,1,15
0,0,Lv.16,11,16
0,0,Lv.17,1179,25
0,0,Lv.19,11,12
0,0,Lv.15,1186,28
0,0,Lv.19,1201,37
0,0,Lv.17,9,20
0,0,Lv.20,1178,32
0,0,Lv.15,1180,23
0,0,Lv.19,1172,18
0,0,Lv.12,9,29
0,0,Lv.20,1189,22
0,0,Lv.17,1186,22
0,0,Lv.18,1182,19
0,0,Lv.17,16,22
0,0,Lv.16,1183,2566
0,0,Lv.15,1179,26
0,0,Lv.15,1196,2691
0,0,Lv.18,1193,2743
0,0,Lv.19,1192,26
0,0,Lv.17,1196,28
0,0,Lv.15,1192,30
0,0,Lv.17,4,20
0,0,0,0,0
0,0,Lv.15,1174,23
0,0,Lv.18,1172,33
0,0,Lv.19,11,17
0,0,Lv.17,1182,31
0,0,Lv.15,1189,40
0,0,Lv.13,1199,37
0,0,Lv.18,1203,2809
0,0,Lv.19,1191,22
0,0,Lv.18,1184,35
0,0,Lv.20,1177,28
0,0,Lv.18,1179,2413
0,0,Lv.15,8,15
0,0,Lv.19,8,13
0,0,Lv.17,1176,16
0,0,Lv.18,1181,1890
0,0,Lv.13,1177,31
0,0,Lv.18,14,17
0,0,Lv.17,1183,25
0,0,Lv.16,1170,2429
0,0,Lv.19,17,20
0,0,Lv.17,1188,22
