,名称,薪水,地址,工作需求
0,python开发工程师,20k-40k,/深圳 /,"岗位职责：
负责公司级研发及运营平台的开发，致力于提升公司在具体领域内的研发及运营效率，服务于公司所有研发&运维人员，涉及的内容包括软件源、配置中心等；
负责研发效能相关平台的研发，致力于提升基础的研发效率，涉及的内容包括CI、发布、监控、日志数据平台等；
负责运营体系、运营平台的建设，致力于提升部门业务的运营效率、运营质量。

岗位要求：
精通Unix/Linux操作系统、Bash、C/C++，良好的编码规范； 
具备2年以上开发经验，至少熟悉1种开发语言：PHP、Java、Rubby、Python、Perl； 
具有良好的学习能力、沟通能力、服务理念和合作精神； 
强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长； 
有数据仓库建设经验，熟悉python和web前端开发优先； 
有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先； 
有大型分布式系统设计与开发经验者优先；"
1,python,10k-20k,/南京 /,"1.统招本科学历(学信网可查)，双证齐全
2.3年以上开发工作经验
3.熟悉python编程"
2,python开发,15k-30k,/深圳 /,"【岗位职责】
1、负责Web后台、手机APP后台系统的开发、优化与维护；    
2、熟悉敏捷开发，编写高质量的，整洁简单，可维护性的代码；构建可重复使用的代码以及公共库；
3、根据工作需要，设计并完成各种辅助工具的开发。
   【任职资格】
1、本科及以上计算机相关专业毕业，3年及以上的linux下Server编程经验；
2、具有良好的技术能力，数据结构、算法基础扎实；
3、熟悉类Unix系统架构、Tcp/Ip协议，掌握常用linux命令；
4、熟练使用C/Python/go等任意一门开发语言；
5、熟练多种 Web 开发框架及部署方式；
6、熟悉多种数据库，如 MySQL, PostgreSQL, Redis；
7、熟悉 SQL 语言，熟悉 ORM 框架；
8、善于解决问题，拥有较强的自学能力，具备创新思维能力。
   【加分项】
1、有技术博客网站；
2、有开源项目经验；
3、有金融背景知识。

【岗位诱惑】
1、与腾讯、迅雷、IBM等一线互联网背景同事并肩作战；
2、千亿级别市场机会，行业红利；
3、超行业水平回报；

【我们提供】
1、轻松愉快的工作氛围，地铁盖上超甲生态写字楼办公环境；
2、行业早期从业者带你小跑进入区块链领域；
3、全员配置Macbook Pro + 27寸 显示器 + 价值5K人体工学椅；
4、免费水果零食、软饮下午茶、台球桌、跑步机；
5、全年14薪；
6、14薪外还有年度奖金；
7、每年至少一次高品质旅游 ；


【我们想要怎样的人】
1、对新鲜事物有强烈的好奇心、对区块链感兴趣；
2、聪明，有极佳的逻辑思维，学习能力强。"
3,Python开发工程师,10k-20k,/北京 /,"岗位职责：
1、负责公司自动化运维平台项目的开发与维护，以提升运维的工作效率；
2、负责公司产品线的自动化部署：包括安装、配置，维护，监控，调优，排除故障等稳定性保障工作；
3、负责私有云、容器相关平台和工具的开发；
4、负责与其它部门协调，指定相关接口规范。

岗位要求：
1、本科及以上学历，计算机相关专业， 2年以上Python开发经验；
2、熟悉Django, Tornado, Flask框架中的至少一种，熟悉Web后端架构；
3、熟悉Linux平台环境的开发，熟悉Linux Shell编写 ；
4、熟悉ELK、Zabbix等监控系统维护、使用；
5、熟悉mysql、nginx、tomcat等中间件使用；
6、有项目CI/CD经验者优先；
7、对自动化运维有强烈的兴趣，有优秀的学习和沟通能力。"
4,python开发工程师,15k-30k,/深圳 /,"职责描述：
1、负责后端服务模块的开发维护工作、图像识别算法模型的工程落地，为产品提供稳定的服务；
2、负责系统优化，协助解决项目开发过程中的技术难题；
3、与团队里其他角色紧密配合，共同创造稳定易用的产品；

岗位要求：
1、计算机相关专业、专科及以上学历；
2、熟悉linux下的网络服务器设计和开发，熟悉网络编程；
3、熟悉实用Python语言，并有相关开发经验，熟悉一种框架，例如tornado、flask等；熟悉Mysql；
4、熟悉linux/Unix常用操作命令，了解shell；
5、具有高度的责任感，工作积极主动、学习能力强、善于总结，有规范化文档编写良好习惯；
6、喜爱研究技术，喜欢思考"
5,Python开发工程师,15k-30k,/上海 /,"岗位职责：
1、负责公司用户端业务接口的功能开发和代码维护，能独立完成子系统和功能模块开发，编写完整的接口文档；
2、根据需求制定技术方案，项目计划以及开发,学习研究最新技术，并将之应用到工作当中；
3、根据产品需求，进行系统设计和编码, 持续对系统架构进行改造和优化；
4、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低。
岗位要求：
1、5年及以上Python开发经验，熟练Flask，Django, Sanic, Sqlalchemy，Celery等主流框架, 深入理解框架实现原理及特性, 熟练使用python的常用库, 熟悉网络爬虫；
2、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉MySQL、Redis等，具备数据库应用、设计能力；
3、理解并能应用RESTFul规范,具备较强的编程能力和良好的编码风格；
4、熟练掌握Python语言及web相关技术栈；
5、善于团队合作与管理，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心；
6、了解异步框架Async,集群与负载均衡,消息中间件等技术；
7、不了解异步框架的请慎投，谢谢！"
6,Python开发工程师,10k-20k,/深圳 /,"岗位职责：
1. 研究深度学习或模式识别中核心算法，将上述算法开发为商用项目。
2. 根据应用场景进行算法优化和定制。
3. 搭建高可用、高性能的机器学习平台。
4. 理解和梳理业务，进行系统分析和设计，合理规划系统功能和结构。

任职条件：
1. 计算机相关专业，1年以上工作经验
2. 熟练使用Python编程，熟悉基本的数据结构、算法和设计模式
3. 熟悉mysql, mongodb, redis，kafka等常用数据库／缓存／队列项目的使用和优化
4. 熟悉分布式架构，有大规模数据集处理经验者优先
5. 熟悉主流web框架，了解架构设计和实现原理
6. 具有极强的主动学习欲望和快速学习的能力
7. 熟悉机器学习工具，如tensorflow、caffe有加分"
7,Python工程师,13k-20k,/深圳 /,"1.     2年以上Python 编程经验
2.     熟悉Linux系统及Shell编程
3.     深刻理解软件设计，深入理解Python特性，编程风格良好
4.     熟悉Tornado或Django 者优先"
8,Python开发工程师,9k-12k,/上海 /,"岗位职责：
1. 服务于机构客户的数据同步服务或相关定制化项目的开发和维护工作
2. 根据产品要求实现行情后台需求开发，并负责后台行情的日常维护
3. 配合完成内部系统的后台定制化开发工作

任职要求：
1. 计算机本科及以上学历，2年以上工作经验；
2. 有Python开发经验，熟悉Unix/Linux系统；
3. 熟悉常用数据结构和算法，MySQL、mongodb数据库；
4. 熟悉Redis及常用队列中间件，有相关实践经验；
5. 善于学习新技术并应用于实践；"
9,python开发工程师,12k-17k,/南京 /,"任职要求：
 1、计算机或相关专业本科及以上学历；
 2、优秀的数据结构和算法实现能力；
 3、熟练掌握并运用至少一种高级语言：Python、c；
 4、熟练掌握Django的Model设计以及Query设计；
 5、熟练掌握Restful API 设计和维护； 
 6、熟练掌握Mysql数据库的开发（包括table设计以及sql语句设计）；
 7、熟悉Reactjs开发或VUE
岗位职责：
1、编写高质量的产品和需求设计文档；
2、支持售前方案设计和讲解；
3、编写高质量的代码；"
