name,content,score,create_time,user_url
sun,上海大酒店设施齐全，服务态度超好，我掉了东西，他们热心帮我找到，非常感谢！！！,5,2019/8/2,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=43269631
zzj,酒店位置很好，服务不错，我们住的房间有西晒的太阳，下午有人会来问是否要拉窗帘，看到有小朋友给了块巧克力。外出游玩时，不小心扭到了脚，问总台要了冰块，很快就送来了。,5,2019/8/1,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=84840818
马蜂窝用户,酒店位置优越，距离地铁非常近，逛街、吃饭都非常方便，晚上可以步行去外滩散步看夜景。,5,2019/7/29,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=40132038
iris,环境服务和地段都很好，干净卫生。,5,2019/7/24,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48383565
马蜂窝用户,离外滩很近，南京路步行街就在旁边，地铁口近，巴适。,5,2019/7/24,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=66267755
白色风信子花开,不愧是五星级酒店，够大够气派，环境很好，加早餐升级了行政套房，门口就是平台花园，下次来上海还住这里,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=37931340
马蜂窝用户,非常棒的住宿。地理位置很好。好。,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48769908
HomiE dog,环境不错  设施很好  就是差点服务  没啥服务  队,5,2019/7/9,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=34491678
朱兆华,环境不错！空气不错,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=57765235
信忠,环境很好，很干净,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95275267
反省,以前来都住这个酒店，这次夜里消防喷淋头老吱吱响，里面好几扇门漏光，枕头也不舒服，感觉比前几次差多了。,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95275853
全力以赴,交通极其便利，干净卫生，床很舒服，枕头还可以根据个人喜好更换，是一个性价比极其高的五星级酒店！,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95275406
Zhanjun,酒店干净卫生，服务态度特别好，我们带2个小朋友，因路上睡着了，礼宾部帅哥主动帮忙拿行李并送至房间，非常暖心，下次还会选择！,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95273264
宋语翻翻翻,可以加床，早餐一般，位置优越，吃饭逛街超方便,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95277002
小牛,很不错的酒店，很干净，服务也不错,5,2019/7/3,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=55897748
林丹,酒店地理内置非常好，邻近地铁站，南京路步行街，去哪儿都非常方便！,5,2019/7/1,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=84491402
彥綜,酒店位置很好 就在南京西路隔壁 。周围都是餐厅 吃饭选择非常多,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95277968
玥貓,酒店位置绝佳，步行二分钟就到南京路步行街。周边美食众多，影院众多。早餐打7.5分吧（蔬菜一直不变）,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=79594372
游宗諭,综合挺不错，遗憾的没品尝到早餐。,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=85588921
石頭,酒店位置非常好，大堂也挺气派，房间宽敞舒适，挺满意哒,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=54247390
楊仿祈,环境好！服务好！,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=73011640
热情狮子头,很不错，很好,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=83563106
無法使用,非常满意的住宿体验。房间很宽敞，特别是卫生间，干湿分离，有两个洗手池，还有欢迎水果和巧克力，小朋友特别开心。,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76317208
竣堯,南京路步行街附近，交通方便，适合旅游出行，酒店干净。,5,2019/7/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=60385463
小丽,感觉和南京的金陵饭店差不多，环境很好，服务也棒,5,2019/6/6,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=51927736
蚂蜂窝用户,特别舒服，交400元升级行政房，服务配套都很好,5,2019/5/29,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=44814359
马蜂窝用户,出了门头不像五星级酒店其他都是五星级国际标准,5,2019/5/14,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=44331555
小墨,服务很棒环境很棒，地理位置全是闹中取静了，房间很大气，床也很软，应该算是法式风格。酒店里的小龙虾自助挺火的，办理入住和退房速度适中。,5,2019/5/6,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=54924353
马蜂窝用户,地理位置超级好，酒店豪华，就是不知道是不是服务员太抠门，住了三天，洗发水沐浴露润肤露…不愿意每天换新，拖鞋还是打电话才拿过来两双,5,2019/5/5,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=30152080
马蜂窝用户,不错的，很喜欢，在这里玩的跟开心，宝宝跟开心，以后来上海，首选上海大酒店。,5,2019/5/1,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=85767700
水墨淡彩,带父母第一次来上海，选择上海大酒店非常正确，酒店地段好，就在南京路步行街，前宾礼貌，前台也非常和善友好，酒店高端上档次，房间里豪华大气，没有订早餐，一天三餐都在出门20米的大马头茶餐厅吃，菜色丰富价格实惠，选择上海大酒店真的挺好。,5,2019/4/30,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=34692252
曦临,总的来说还满意。希望房卡能给两张，一张非常不方便。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=63682678
張子龍,优异的。房间，卫生间。餐厅的菜品；卧室的床垫。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95277919
李丝绮,好极了。酒店环境很不错，床很舒服，地点非常好，周边资源丰富。没有人帮忙提行李是国内五星酒店的通病，行李都靠自己拿，回房间也是靠自己。只有最后走的时候寄存行李，有人帮忙提了一下。体验感不是很好。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=44712420
艾瑞克,好。地點好，服務不錯，飯店內環境很好，人員服務好。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=73542919
启程LW,酒店地理位置不错，去哪都很方便。只是早餐品种不是很多。总体还不错。,5,2019/2/25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=51959498
被子怪大人,挺不错的。这个价格住上海五星级酒店，算可以了,5,2019/2/20,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=46136849
文英,优异的。位置好，出门方便，酒店员工热情周到，客房整洁非常舒服。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95278692
黄小豆,很赞的酒店，离南京路步行街，世茂，外滩都很附近。,5,2019/2/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=72132231
至巍,优异的。全體服務人員都非常好，是個好的住宿經驗。沒有。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48795111
捷克阳光旅游公司,"优异的。地點特佳, 環境幽雅寬敞舒適, 服務水準優...。早餐報價太貴了...。",5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95278564
楊惠國,优异的。飞猪预定限时取消要信用卡保证，不知什么原因信用卡无效，担心预定不成功，又联系一阵才落实可以保留预定，很多预定限时取消都可以用信用担保，可以考虑下信用住，出现信用卡无效的时候很担心没有预定成功，航班有时候误点所以也不能有准确的到店时间，到店没得住会很伤心。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=52611447
松鼠的臭葛格,优异的。设施质量好，地理位置好！餐厅酒水饮料小贵噢！,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=37390713
霓虹（ZY150051）,环境是在太棒了 物超所值啊   服务非常到位  用餐环境优雅,5,2019/1/1,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=73720062
马蜂窝用户,酒店位置很好，服务态度也很热情，房间干净卫生，复古的风格看起来挺舒服的，总之对得起这个价格,5,2018/12/23,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=31320306
惠玲,位置很好。位置非常好，酒店也干净，性价比还是不错的。前台态度不好，总是不耐烦。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95278305
翠君,非常好。酒店地理位置很好，离地铁步行街都近。房间很干燥，空调开了没什么感觉还是很热。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76064608
志坚,非常好。地理位置很方便。房间有点老旧，房间电插座只有一个可用。沐浴设施老旧。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95278111
天弓,绝对经典非常好的体验，下次还会去,5,2018/11/6,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=36554521
