name,content,score,create_time,user_url
不见不散gary,wifi連上去網路速度太慢,5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=64391816
miaoyingqi_,不能带宠物,5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=55852328
mrtrm,食物非常赞，很好吃。服务好，地理位置好。房间环境舒适。,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=56736750
端木刺,早餐很丰富，品种齐全。房间舒适。,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19992964
connielyx,靜安香格里拉以在上海的五星酒店中，論設施及酒店服務人員素質而言，皆可用出色來評價，前臺并未因人多而有損服務質量，樓層工作人員也皆做到與客人禮貌性問候。而飯店地點本身與優越商場的結合，使客人不必踏出酒店便能滿足需求,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=71285710
monchhichi芬芬,酒店的地理位置，酒店的服务都非常合我意。有去上海会第一个考虑住静安香格里拉。,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=78501563
kirzalid,设施新，服务好，很满意,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=70766098
moonfox,"wifi&amp;游泳池&amp;硬體設施 餐廳食物服務相對價格來說普普通通, 一對夫妻帶2小孩1x一歲 1x 4歲 在酒店1515牛排館消費 14xxRMB 不覺得物有所值",5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=33087587
kodaa,"wifi&amp;游泳池&amp;硬體設施 餐廳食物服務相對價格來說普普通通, 一對夫妻帶2小孩1x一歲 1x 4歲 在酒店1515牛排館消費 14xxRMB 不覺得物有所值",5,2015-09-18,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=61245939
shirley,"酒店早餐棒的没话说，种类十分丰富，味道也赞，酒店空调口设计独到，不觉得它的存在 这次入住有每天的餐券，没有时间消费，可惜了，如果可以叫room service, 打包带走就好了，哈",5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42747080
我爱喝果粒橙,服務一流，豪華閣特別好！,5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19925933
master,香格里拉在中國最好的選擇之一，房間和其它的飯店很不同，值得一住,5,2015-09-18,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42819253
daisy,香格里拉在中國最好的選擇之一，房間和其它的飯店很不同，值得一住,5,2015-09-22,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=78812467
小雪就是王大胖,希望早餐的品种可以更丰富一些。,5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=64700337
q_junjun,这次入住香格里拉还是一如既往的舒适贴心，各方面都很好。5分是必须的！,5,2014-08-24,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76846687
liruolan,酒店新酒店，挺不错的。但是门口的服务不够专业，戴“有色”眼镜。车门一副爱开不开的样子，问点什么也板着脸。希望能提供微笑温暖宾至如归的服务。,5,2014-09-15,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=53868104
jason,酒店灰常不错，早餐还好，强烈推荐，就是价格有点小贵、小贵的。,5,2014-09-15,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=32140287
杰克在买菜,保持了香格里拉一贯的高品质，地段很好，出行方便，周围商圈美食一网打尽。,5,2014-09-15,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=49498072
比猪漂亮,酒店位于市中心，交通便利，闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店 性价比很高。布置的很温馨,5,2014-09-15,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19998370
xiaoxiaosugar,服务态度都很好，入住行政楼层可免费使用2小时的商务中心会议室。,5,2014-09-15,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=66772659
忧郁晨曦,"交通蛮方便的，距离不到100米花木路上就有地铁站。周边环境小资，嘉里城吃、喝、玩、购物齐全，周末还有集市，超市进口食品玲琅满目，当然价格不便宜。
房间舒适温馨，落地窗外可以看到绿化公园，挺安静的。",5,2014-11-13,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=5057520
because,地理位置非常好，，而且客房非常棒~全落地窗，，景观很好，有种小时代1里顾里的房间的感觉,5,2014-06-26,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=41555885
queenie_gong,开业之后，每次出差来上海都住这里，方便，而且服务相当好，景观也是一流的。看着旁边的酒店都在脚下的感觉，哈哈~~,5,2014-05-30,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=5019661
muppet_lost_way,酒店卫生间有地暖，这点深得我心，酒店大堂工作人员比较热情，但是前台工作人员态度就很敷衍，效率也一般，边上一位住客一直在发牢骚没人接待他。优越的地理位置，方便的交通，这两点成为入住最佳理由,5,2018-07-30,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48773738
huabanyu32,服務態度很好,5,2015-09-25,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19992794
xineren,服務態度很好,5,2015-09-18,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=31423768
卉_hui,舒适、服务好 WIFE不稳定,5,2015-09-03,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=78936329
tiffiany,不能带宠物,5,2015-09-18,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=36504142
