name,content,score,create_time,user_url
suboyuan,窗台风景很好,5,2018-07-23,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=82939630
wuhababa,房间景色很好，带女儿看漫展，酒店离世博展览馆很近，下次还会入住。,5,2018-07-22,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76759730
paradox,我是开车去上海的，所以位置对于我来说没那么重要，酒店很新，房间挺大的，我一开始住在外滩英迪格，是洲际的设计酒店，后来去浦东附近找了这家洲际，总之我觉得比起外滩2000多的江景房，性价比蛮高的！值得入住...,5,2017-12-02,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=93150687
夏夏,很安静的一家酒店，世博时候开业的，附近就梅赛德斯奔驰馆，一般在那里有活动的艺人都会入住在世博洲际，附近景色一般，世博会结束后比较冷清了，游泳池很不错，4楼中餐厅菜品很新鲜，酒店后的黄浦江可以散散步~,5,2016-10-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=86577649
大大宣宣,来这住就是为了更近梅奔，晚上看完演唱会也可以步行回的到酒店，刚办入住就给了高层江景房~推荐啊~,5,2016-03-23,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=84065376
峰哥,入住洲际行政套房，非常干净和安静的酒店,5,2016-02-24,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19678433
小小丽De大旅程,"非常喜欢这家洲际，不论从信价比，卫生设施，景观特色，舒适程度，服务质量或者是餐饮来说，都是值得评五颗星的，唯一美中不足的就是离地铁站比较远，如果不是自驾的话，会有点路，不过饭后锻炼锻炼身体也好，可以去旁边的世博源玩玩。
酒店的外观设计和其他的洲际酒店很像，都是像麻将牌一样的风格，门口的服务非常好，会主动来帮你开车门，还没进门感觉都棒棒的了，不像一些五星酒店那样的形同虚设。
进门后非常的安静，办理完入住后上楼，有个小tips大家可以留意，因为如果定的洲际高级房700-800／间，每个楼层有一个两面全景的房间，但是定的早电话到酒店才能预定到，所以如果想性价比最高有个最好的视角，建议提早预约。我们很幸运的预定到了所以进门还是非常的惊喜，立马感觉房间视觉上大了不少，而且正对了黄浦江。
房间的设施还是比较全的，基本上五星级酒店有的都有，雨伞没看到，多种规格电源插座在床边，用的是中央空调没有嘈杂感，书桌在窗边，熨衣设备和保险箱都在柜子里面。然后，电热水壶、咖啡壶/茶壶、免费瓶装水、小冰箱、迷你吧什么的都是在柜子里，要打开才能看到的。玻璃杯蛮高级的，分了三种高低矮瘦的款式供选择，每种两个，很有情调哦，不过很脆，用起来一定要小心。
然后是浴室部分，小浴缸满温馨的感觉，浴室和房间不是透明玻璃，所以还是比较有私密性的浴室，全天提供热水的不会越洗越冷，花洒也是很舒服的，水温也适宜。拖鞋，吹风机，洗漱用品质量都不错，也整理的很整齐，整体浴室色彩的感觉也很棒。",5,2016-01-16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=59929449
meimeitou,"曾经为公司活动考察场地来此酒店，环境没得说，在世博大园区里，因为周边人少，所以安静秀丽、绿化程度较高，有些房间可以直接看到江景，天气晴好的时候景色很美。而且还能看到一些世博场馆。

酒店外观和内部都非常气派，确实有连锁酒店的风格。

大厅很宽敞，整体视觉效果很好，服务人员素质较高；房间面积较大，格局比较合理舒适，设施比较新而且齐备；会议室数量不是太多，但适合多种规模的会议，有些会议室还是可拆分的。

询了一下价格，确实不低，公司在这里做活动有助于提升形象，不过出于成本考虑，大规模的活动还真是要斟酌。

没看餐厅，不做评论。

总体感觉，他家的酒店还是很有品质的，不过性价比是否合理还要见仁见智。",5,2015-10-26,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=52376952
Jaly Hsu,每次去每次住，简直忠实铁粉啊！！,5,2015-10-07,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=17769396
Esther,雖然離地鐵站不近，但是整個酒店非常高檔舒適，大廳很高級，櫃檯接待人員態度很好！！用的沐浴品也非常有質感！肯定再次入住！,5,2015-09-16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=40504898
pikahu,很不错，房间蛮大的，和其他的标准间比较是真的大，位置就在黄浦江旁边，寄地铁站，中华艺术宫都还蛮远的，大概1-2公里，打出租车可以用滴滴打车，超方便，抢单迅速，棒棒哒！,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=80080137
雨中霞,一直很喜欢这个酒店，有机会会经常入住的。喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19960981
xufeifei_,很安静，夜晚江景很美。适合品酒商谈。酒店服务很快很到位，提供了冰块服务，停车场也很方便。以后会常去是个好地方。,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=51175075
wudixixi,酒店房间景色一流，非常宽敞舒服。前台服务很耐心到位，还有会粤语的小哥，不能更赞。早餐也挺不错，孩子非常喜欢。,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=66871100
forandy,为了看梅奔的演出订的洲际 走路去梅奔也就15到20分钟 江景房挺美的 当然主要是和金秀贤住同个酒店看同一片景用了同一个健身房想想都会觉得美啊,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=32412186
fsslash,环境，交通都好，服务也到位，就是房间里的设施需要认真检查，有开关有问题,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=70856813
mini风,非常好，靠江景的房间更好了，无敌，自助餐稍微差了点，种类较少，不如同等级的,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=55453225
