name,content,score,create_time,user_url
曉蘋,总体还是不错的。大堂设计还是不错的，酒店内部设施一般，。,5,2019-07-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=82416155
晴,很棒。设施齐全，舒适度很好，别人都夸我会挑地方。艺术品一样的酒店。主要是挨着博览中心，第二天亚宠展过条马路就进去了。酒廊的服务人员可以多点，或者热情点。坐角落里他们看不到我qwq。,5,2019-07-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=52770372
zsyzzhouyang,酒店非常好，免费升级到行政套房，估计近百方，太赞了，设施也很先进，地铁七号线花木路出口，对面是嘉里城，离第二天去的迪士尼自驾13.2公里，总之很满意,5,2018-07-31,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=71407108
iroroo,很好有機會再來,5,2018-07-30,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19953972
東翰,美好的体验！特别精致！下次还来！,5,2019-07-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=81818596
朱閔,適合商務出差 下班後能在酒店放鬆休息。房間寬敞 衛浴也很大 床舒適柔軟 工作人員態度親切熱心 健身房的女士更衣間 置物櫃的配備很貼心。衛浴沖澡的水龍頭使用較不方便 希望照明可多一點白燈。,5,2019-07-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=34352786
汪love喵,对于参加展会来说位置绝对是一流的，比对面的嘉里中心便宜很多，服务好像也比以前更加好了。周边配套也比前几年多了很多。,5,2015-09-12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19964379
violeticejiejie,环境好！服务好！酒店很新干净！下次还会入住！！,5,2015-09-10,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=39543718
duckling,各方面都不错的五星级酒店，招待高级别的客户推荐,5,2015-09-06,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=58317183
当瘦猴遇见企鹅,交通方便，设施先进，房间干净，温馨舒适，适合旅游度假,5,2015-09-06,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=83873691
