name,content,score,create_time,user_url
圣洁,优异的。绝对推荐，地理位置极佳，员工热情，服务周到，房间风格明显，颇有情调。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95276330
Zhaoping,非常好。地點非常好 一出來就是外灘。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95273328
宣慈,好。位置在外灘，方便走走逛逛，酒店本身就是一个景點，餐飲品類多味道不錯！員工不热情不專業，辦理入住時的員工根本不主動介紹酒店的服務和設施，等我們問才回答，中间沒有微笑和禮貌用语。反而入住時另外一名外籍員工送了个公仔給寶寶哄宝寶開心。不過後续也沒有人帶我們上房间介紹，這確實不是星級飯店的服務標準。入住期間推着嬰兒車多次在停車場入口处來回，從來沒有人幫我們開門也沒有人上前詢問，只有白天上班時间在大堂电梯口才看到服務员，從大堂到餐廳到酒吧給我的感受就是普遍對國人無熱情和服务质量可言，反而對外籍人士卻態度和藹得多，硬件設施很好，但软件實在配不上上海的老字号酒店。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95277113
Yizola,"酒店中庭，都是鲜花，很多电影取景地。
房内设施很赞，特别是洗护用品
自助早餐非常棒，露台风景独好。",5,2018/7/3,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=87337705
山河入梦,优异的。值得體驗的一家老字號飯店。上海的溼度比較高 床鋪都有點濕濕的。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95277569
世民,优异的。爵士酒吧绝对是最大特色！历史悠久设施却翻新得很成功。房间结构设计很合理，比同类五星好很多。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95274632
Zhengxian,优异的。飯店很美，設備很棒，整體舒適度很不錯。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95273460
Антон,去上海一定要体验一下和平饭店。枕头很舒服，床很高很大，备注了加婴儿床，到了酒店发现还加了热奶器，婴儿洗漱用品，婴儿浴盆，挺贴心的，很多细节都做得不错。爵士酒吧有一种穿越回老上海的感觉，天台酒吧看夜景很好。暂时没有。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95274371
半清半醒半明白,还是很值得住一晚浪漫一下。房间服务非常好，而且很大，设备齐全，有胶囊咖啡。地理位置好到不行。没有USB充电口，酒店早餐一般，下午茶虽然是免费的，可惜没有风景看。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95272741
Zhouyouforfun,优异的。地理位置一流，装修很有老上海的风情。员工某些时候可以再专业一些。,5,2019/7/12,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=95273849
