name,content,score,create_time,user_url
Matty,路过 以为只是一栋建筑  点进来才知原来是一个饭店,5,2016/7/28,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=78748459
Jessieca,还不错，就是从没去过，还是在锦江之星住过，不哦的感觉,5,2016/5/14,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=60453802
葡萄,地处外滩紧邻南京就步行街，地段没话说，可做二号线南京东路直达，周边购物中心很多。,5,2016/5/14,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=59808563
唐伯龙,发哥拍电影的地方！已经发展到这么牛逼了，很大气！没进去吃，哈哈！路过！,5,2016/4/28,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=59561462
KR0535,"入住和平饭店是圆年少的梦吧，十年前，我是看客，十年后依旧是看客，只不过看得更深入。整间酒店就是一座博物馆，值得回味。

【房间】预订的费尔蒙金樽客房，房间应该是无景的，只不过带金樽体验可以享用行政酒廊。办入住时，直接领到9楼的行政层专人办理。入住时没有双床，酒店给升级到了市景房，但是两张单人床拼到一起的大床。还是不错的，可以观景了。房间没的说，很棒。卫生间很宽敞，两个洗手台，浴缸上方有电视。卧室的电视在柜子里，可以拉出来，虽然是斜的，但ok。入住后，服务员送来一盘苹果，很好吃。晚上有开夜床服务，还把房间垃圾都收了。金樽房免费wifi

【行政酒廊·下午茶·餐前酒】特意选的带金樽体验的房型，可以免费享用行政酒廊，带老爸来小资一下。下午2-4点下午茶，点心水果酒水自助，可以上网。很多洋人。如果需要茶咖啡，需要跟服务员order。下午5:30-7:30是餐前酒，同样是点心水果酒水自助，还有热牛柳鸡肉等，基本就吃饱了，不用再吃晚饭了。这里的鸡尾酒需要自助调制。

【和平博物馆】酒店一楼走廊陈列着老照片老物件，见证着和平饭店的历史变迁，很多伟人名人下榻于此。其中，靠近外滩的一个楼梯，服务员说当年卓别林曾站在这里，恰巧我们在这里拍了照。楼梯旁边就是当年卓别林来访时的照片。

【露台】从一楼走廊尽头乘坐最靠近外滩的那部电梯到9楼华懋阁，住店客人可以免费上露台观景，露台很小，可以俯瞰外滩。但是露台开放情况不好掌握，下雨就不开了。如果是想享用露台，不必住店，就直接在华懋阁用餐就可以了。露台其实是在9楼的华懋阁餐厅里面的。

【爵士吧】老年爵士乐队，全是头发花白的老者。演奏的调调也很老上海味。据说住店客人没有最低消费，需要预约。人均150元，含15%服务费。每桌送小食，免费续添。

周末去的时候还赶上了爵士舞会，在一楼餐厅，一下子就被吸引了，仿佛置身那个年代的大上海，哈哈哈。

【早餐】可以在1楼用中式的，也可以在9楼行政酒廊用西式的。因为在9楼用了两次餐点了，直接换1楼。说是中式也算中西结合吧，中规中矩。

服务感觉还可以吧。房间有赠送明信片，外滩特色。夜床服务时会给次日的天气预报。还有健身房游泳馆没来得及去，在这里悠闲得呆两天很不错。很有底蕴的地方。",5,2016/4/22,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=89531699
博爱天下,低调奢华，典雅高贵，楼虽不高了，但依然可以坐拥浦江外滩的万种风情。,5,2016/3/11,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=31768962
周树林,和平饭店首先地理位置非常不错，房间和餐饮在性价比上来说也还是不错的，试了一下西餐厅，感觉挺棒的。总之逼格非常高。,5,2016/2/27,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=91452289
K arate,民国时期的建筑，值得一看，感受民国的风情,5,2016/2/20,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=57936707
Shadow-921,"沿着人群方向走，刚过傍晚，就会看到武警已经出来维持秩序了，笔直的队伍，肃然起敬！
可能由于去年倒数出事了，今年大家都特别紧张~不过来的人还是非常多，走得很缓慢~看到了带有标志性意义的和平饭店，民国时期保存下来的建筑，达官贵人的去处，有“远东第一楼”的美誉~在上面看着外滩应该是极美的~",5,2016/1/22,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=5595077
鱼大花,位于南京东路外滩，是上海著名的老饭店。,5,2016/1/26,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=46503194
