name,content,score,create_time,user_url
twang,早上的飞机，一出酒店就是ok，很方便，房间也很安静,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42053955
愤怒的猪小戒,酒店就在航站楼内，下飞机之后上两层就是，转机最方便，距离虹桥火车站也很近，设施很新，干净，五分钟星巴克肯德基,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42223808
yugobear,方便乘机。。。。。。。。。。。。。。。。。。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=86240900
fsgxgxlinda,适合赶飞机住，就在航站楼里面，环境也不错,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=81412205
丁野,为了赶早班机订的这里，房间很安静，活动时预定的，又送了连廊登机，两三分钟就过安检了。下次还会再来！,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=35736152
love_elinor,还不错，因为第二天有飞机，所以住这里，感觉还可以,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76764270
院子里的白杨,酒店很好，就是浦东机场过去酒店正门比较难找,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=54616791
weixiang,住宿条件不错，环境不错，没窗户也好不会被机场嘈杂的飞机升降噪音打扰，不错,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=60894171
fionajj,转机停留一宿，很方便，出了酒店就是出发厅。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48789507
mermaid,是转机和乘早班机的最佳选择，如果今后不提价的话。就是退房太麻烦，建议有信用卡预付的可以快速退房,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=31999165
kacalins,房间虽然小但装修却很精致，前台服务很好，我忘了拿押金单还帮我细心的收起来。就是有点小贵啊。。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=47130278
cherryluo,离机场好近，条件很不错，会再次入住…开心了,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=59321566
rollinlx,位置优越，交通便利，酒店高端大气上档次，值得推荐。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42040504
斯文的威猛,就在机场，非常方便，新店，晚班和早班机非常适合入住，推荐各位入住,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=41800179
zhangsitai,位置超级方便，下飞机取了行李走几步就到了。都不用出航站楼。酒店房间商务时尚，有北欧范儿。因为是新酒店，所以很干净，住起来感觉很舒服。关键是价钱也合理，不错不错。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=74838355
fatuma_byt,为了赶第二天一早的高铁就住这里了。相当不错的酒店。下次还会住这里,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=35962421
hanyunchu,第二次住，这次在大堂经理的指示下，给安排了有窗的房间，床品很舒服，关键是很方便。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=47191784
李毅,很方便，价格也实惠，下次还住，大堂经理很热情，还帮忙搜寻吃饭的地方。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19977214
houston_tian,早班飞机绝对方便，与机场一体，楼内直接办登机牌，无论乘机还是地铁全部集成。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=45522084
彩虹宝宝,第二天的早航班 第一次住机场酒店 这个价格没想到还能享受专属安检 就我一个人 还有免费送的酒吧鸡尾酒 味道也不错 感觉很超值 房间属于豪华装修级别 下次有早航班的话还会住这里,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=19998162
name,content,score,create_time,user_url
twang,早上的飞机，一出酒店就是ok，很方便，房间也很安静,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42053955
愤怒的猪小戒,酒店就在航站楼内，下飞机之后上两层就是，转机最方便，距离虹桥火车站也很近，设施很新，干净，五分钟星巴克肯德基,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42223808
yugobear,方便乘机。。。。。。。。。。。。。。。。。。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=86240900
fsgxgxlinda,适合赶飞机住，就在航站楼里面，环境也不错,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=81412205
丁野,为了赶早班机订的这里，房间很安静，活动时预定的，又送了连廊登机，两三分钟就过安检了。下次还会再来！,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=35736152
love_elinor,还不错，因为第二天有飞机，所以住这里，感觉还可以,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=76764270
院子里的白杨,酒店很好，就是浦东机场过去酒店正门比较难找,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=54616791
weixiang,住宿条件不错，环境不错，没窗户也好不会被机场嘈杂的飞机升降噪音打扰，不错,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=60894171
fionajj,转机停留一宿，很方便，出了酒店就是出发厅。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=48789507
mermaid,是转机和乘早班机的最佳选择，如果今后不提价的话。就是退房太麻烦，建议有信用卡预付的可以快速退房,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=31999165
kacalins,房间虽然小但装修却很精致，前台服务很好，我忘了拿押金单还帮我细心的收起来。就是有点小贵啊。。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=47130278
cherryluo,离机场好近，条件很不错，会再次入住…开心了,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=59321566
rollinlx,位置优越，交通便利，酒店高端大气上档次，值得推荐。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=42040504
斯文的威猛,就在机场，非常方便，新店，晚班和早班机非常适合入住，推荐各位入住,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=41800179
zhangsitai,位置超级方便，下飞机取了行李走几步就到了。都不用出航站楼。酒店房间商务时尚，有北欧范儿。因为是新酒店，所以很干净，住起来感觉很舒服。关键是价钱也合理，不错不错。,5,2015/9/16,https://m.mafengwo.cn/nb/public/sharejump.php?type=25&uid=74838355
